Country Name,Country Code,Indicator Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
El Salvador,SLV,"Enrolment in tertiary education, all programmes, both sexes (number)",9515,12945,,20034,26069,28281,,30764,32058,,,,46976,57374,63306,70499,74024,,77120,80818,78211,86114,,95451,106795,114998,112004,,117626,118491,114675,109946,113366,116521,120264,122431,124956,132246,138615,143849,150012,160374,169860,176063,176293,179396,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,GNQ,"Enrolment in tertiary education, all programmes, both sexes (number)",,,,,,,,,,,,,1140,,,,,,,,,578,,,,,,,,,1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,"Enrolment in tertiary education, all programmes, both sexes (number)",,,,,,,,,,,,,,,,,,,,,,,,,,3137,3020,,3096,3994,4135,5505,5507,,4612,,,,,9949,12039,,,,12554,,,,,,,,,,,,,,,,,,,,
Estonia,EST,"Enrolment in tertiary education, all programmes, both sexes (number)",,,,,,,,,,,,25500,,,,,23500,,23400,24300,26300,25900,25805,24464,24768,25483,39726,43468,46513,48684,53613,57778,60648,63625,65659,67760,68286,68767,68168,68399,68985,69113,67607,64806,59998,55214,,,,,,,,,,,,,,,,,,,
Ethiopia,ETH,"Enrolment in tertiary education, all programmes, both sexes (number)",,4543,4978,3941,6474,,,6966,10824,13365,14949,14368,14985,16117,16030,,27338,30210,29253,31204,33486,34076,,,29000,32671,35027,42226,45554,52305,67732,87431,101829,147954,172111,191212,,,264822,401918,577594,632344,693287,,757175,,,,,,,,,,,,,,,,,,,,
Faroe Islands,FRO,"Enrolment in tertiary education, all programmes, both sexes (number)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,FJI,"Enrolment in tertiary education, all programmes, both sexes (number)",359,548,691,881,1204,1653,,,,,1666,1777,2016,,1931,2313,2211,,,3509,,7908,,,,,,,,,,,,12779,12783,12717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,"Enrolment in tertiary education, all programmes, both sexes (number)",,59769,61778,63303,67881,71526,114272,119274,122427,122825,122843,123165,124831,127657,120153,121182,127976,133933,139375,146857,155313,165714,173702,188162,197367,205039,213995,226458,250047,262890,270185,279628,283805,291664,299888,305996,308966,309163,309648,296691,303554,308336,308924,309009,306080,302478,,,,,,,,,,,,,,,,,,,
France,FRA,"Enrolment in tertiary education, all programmes, both sexes (number)",,801156,841049,906568,936052,989439,1038576,1042738,1086938,1020503,1060412,1076717,1150055,1179268,,1255538,1278581,1289942,1327771,1477084,1587202,1698938,1840307,1951994,2083232,2072552,2091688,2062495,2027422,2012193,2015344,2031743,2029179,2119149,2160300,2187383,2201201,2179505,2164538,2172855,2245097,2259448,2296306,2338135,2388880,,,,,,,,,,,,,,,,,,,,
French Polynesia,PYF,"Enrolment in tertiary education, all programmes, both sexes (number)",,,,,,,,,,,,27,37,68,180,,,,,,,,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
